Crash ID,Crash Death Count,Crash Month,Latitude,Longitude,Person Age,Person Alcohol Result,Person Blood Alcohol Content Test Result,Person Type
16867712,0,1,29.66489414,-96.1121801,21,No Data,No Data,1 - DRIVER
16868748,0,1,29.97639184,-96.55703949,81,No Data,No Data,1 - DRIVER
16868748,0,1,29.97639184,-96.55703949,48,No Data,No Data,3 - PEDALCYCLIST
16871034,0,1,29.95533427,-96.29931114,17,No Data,No Data,1 - DRIVER
16895852,0,1,29.77463481,-96.16567287,No Data,No Data,No Data,1 - DRIVER
16882709,0,1,29.94920143,-96.25431792,90,No Data,No Data,1 - DRIVER
16882709,0,1,29.94920143,-96.25431792,37,No Data,No Data,1 - DRIVER
16881992,0,1,30.01815538,-96.30889024,16,No Data,No Data,1 - DRIVER
16881992,0,1,30.01815538,-96.30889024,15,No Data,No Data,2 - PASSENGER/OCCUPANT
16881992,0,1,30.01815538,-96.30889024,15,No Data,No Data,2 - PASSENGER/OCCUPANT
16878909,0,2,29.76121668,-96.17925704,49,No Data,No Data,1 - DRIVER
16878909,0,2,29.76121668,-96.17925704,74,No Data,No Data,1 - DRIVER
16878909,0,2,29.76121668,-96.17925704,70,No Data,No Data,2 - PASSENGER/OCCUPANT
16882031,1,2,30.01071736,-96.30715311,58,No Data,No Data,1 - DRIVER
16882031,1,2,30.01071736,-96.30715311,24,No Data,No Data,4 - PEDESTRIAN
16889403,0,2,29.63075829,-96.06355286,32,No Data,No Data,1 - DRIVER
16896586,0,2,29.73744559,-96.16043703,41,No Data,No Data,1 - DRIVER
16896586,0,2,29.73744559,-96.16043703,44,No Data,No Data,2 - PASSENGER/OCCUPANT
16896586,0,2,29.73744559,-96.16043703,12,No Data,No Data,2 - PASSENGER/OCCUPANT
16897254,0,2,30.05714546,-96.33786119,23,1 - POSITIVE,0.25,1 - DRIVER
16897254,0,2,30.05714546,-96.33786119,21,No Data,No Data,2 - PASSENGER/OCCUPANT
16921210,0,2,29.77219207,-96.06446683,44,No Data,No Data,1 - DRIVER
16921210,0,2,29.77219207,-96.06446683,32,No Data,No Data,2 - PASSENGER/OCCUPANT
16891936,0,2,29.77995101,-96.15721798,18,No Data,No Data,1 - DRIVER
16891936,0,2,29.77995101,-96.15721798,91,No Data,No Data,3 - PEDALCYCLIST
16887624,0,2,29.77495558,-96.13061462,18,No Data,No Data,1 - DRIVER
16887624,0,2,29.77495558,-96.13061462,17,No Data,No Data,1 - DRIVER
16887640,0,2,29.77503614,-96.12782098,57,No Data,No Data,1 - DRIVER
16887640,0,2,29.77503614,-96.12782098,30,No Data,No Data,2 - PASSENGER/OCCUPANT
16887640,0,2,29.77503614,-96.12782098,29,No Data,No Data,1 - DRIVER
16889477,0,2,29.97559139,-96.52853091,32,No Data,No Data,1 - DRIVER
16903957,0,2,29.76966597,-96.18289984,20,No Data,No Data,1 - DRIVER
16898746,0,2,29.77621974,-96.10427213,63,No Data,No Data,1 - DRIVER
16898746,0,2,29.77621974,-96.10427213,64,No Data,No Data,1 - DRIVER
16898746,0,2,29.77621974,-96.10427213,32,No Data,No Data,2 - PASSENGER/OCCUPANT
16898746,0,2,29.77621974,-96.10427213,54,No Data,No Data,2 - PASSENGER/OCCUPANT
16898746,0,2,29.77621974,-96.10427213,43,No Data,No Data,2 - PASSENGER/OCCUPANT
16898746,0,2,29.77621974,-96.10427213,33,No Data,No Data,1 - DRIVER
16907743,0,2,No Data,No Data,43,No Data,No Data,1 - DRIVER
16907743,0,2,No Data,No Data,16,No Data,No Data,1 - DRIVER
