CrashID,CrashDeathCount,CrashMonth,Latitude,Longitude,PersonAge,PersonAlcoholResult,PersonBloodAlcoholContentTestResult,PersonType
17379361,0,10,29.60045759,-98.42251593,70,NoData,NoData,1-DRIVER
17390478,0,10,29.60064949,-98.41996854,NoData,NoData,NoData,1-DRIVER
17373580,0,10,29.60281726,-98.366222,58,NoData,NoData,1-DRIVER
17373580,0,10,29.60281726,-98.366222,6,NoData,NoData,2-PASSENGER/OCCUPANT
17373580,0,10,29.60281726,-98.366222,32,NoData,NoData,1-DRIVER
17373580,0,10,29.60281726,-98.366222,48,NoData,NoData,1-DRIVER
17373591,0,10,29.60045759,-98.42251593,78,NoData,NoData,1-DRIVER
17373591,0,10,29.60045759,-98.42251593,26,NoData,NoData,1-DRIVER
17373591,0,10,29.60045759,-98.42251593,41,NoData,NoData,1-DRIVER
17375472,0,10,29.60885876,-98.49245856,20,NoData,NoData,1-DRIVER
17375472,0,10,29.60885876,-98.49245856,37,NoData,NoData,1-DRIVER
17376516,0,10,29.59325824,-98.57873704,64,NoData,NoData,1-DRIVER
17376556,0,10,29.59831709,-98.56659134,NoData,NoData,NoData,1-DRIVER
17376618,0,10,29.48221599,-98.71042521,25,NoData,NoData,1-DRIVER
17376621,0,10,NoData,NoData,NoData,NoData,NoData,1-DRIVER
17376621,0,10,NoData,NoData,38,NoData,NoData,1-DRIVER
17377066,0,10,29.58158889,-98.34492242,47,NoData,NoData,1-DRIVER
17377066,0,10,29.58158889,-98.34492242,54,NoData,NoData,1-DRIVER
17379379,0,10,29.60899738,-98.46778951,44,NoData,NoData,1-DRIVER
17379379,0,10,29.60899738,-98.46778951,33,NoData,NoData,1-DRIVER
17384290,0,10,29.52601335,-98.68825621,20,NoData,NoData,1-DRIVER
17377440,0,10,29.6036871,-98.53281385,23,NoData,NoData,1-DRIVER
17377440,0,10,29.6036871,-98.53281385,47,NoData,NoData,1-DRIVER
17377440,0,10,29.6036871,-98.53281385,48,NoData,NoData,1-DRIVER
17377440,0,10,29.6036871,-98.53281385,49,NoData,NoData,1-DRIVER
17377441,0,10,29.60124947,-98.55519442,51,NoData,NoData,2-PASSENGER/OCCUPANT
17377825,0,10,29.60186836,-98.40345273,29,NoData,NoData,1-DRIVER
17377825,0,10,29.60186836,-98.40345273,NoData,NoData,NoData,1-DRIVER
17379656,0,10,29.58730268,-98.6298445,37,NoData,NoData,1-DRIVER
